cpt_code,par_amount,state
23473,"1,529.77",
23474,"1,653.18",
23480,771.84,
23485,901.5,
23490,810.36,
23491,955.68,
23500,205.16,
23500,209.33,
23505,333.07,
23505,312.19,
23515,676.69,
23520,220.43,
23520,219.47,
23525,363.42,
23525,334.84,
23530,538.68,
23532,586.61,
23540,216.54,
23540,215.57,
23545,319.86,
23545,289.67,
23550,538.92,
23552,614.48,
23570,217.18,
23570,223.6,
23575,352.06,
23575,378.39,
23585,923.19,
23600,306.68,
23600,289.65,
23605,436.72,
23605,398.5,
23615,831.29,
23616,"1,166.80",
23620,250.23,
23620,240.28,
23625,355.52,
23625,328.86,
23630,733.28,
23650,298.57,
23650,272.23,
23655,378.78,
23660,548.87,
23665,400.7,
23665,371.15,
23670,822.68,
23675,516.53,
23675,470.28,
23680,875.26,
